geometry
"POLYGON ((23.5 -16.5, 23.5 -17, 23 -17, 23 -16.5, 23.5 -16.5))"
"POLYGON ((24 -16.5, 24 -17, 23.5 -17, 23.5 -16.5, 24 -16.5))"
"POLYGON ((24.5 -16.5, 24.5 -17, 24 -17, 24 -16.5, 24.5 -16.5))"
"POLYGON ((25 -16.5, 25 -17, 24.5 -17, 24.5 -16.5, 25 -16.5))"
"POLYGON ((25.5 -16.5, 25.5 -17, 25 -17, 25 -16.5, 25.5 -16.5))"
"POLYGON ((26 -16.5, 26 -17, 25.5 -17, 25.5 -16.5, 26 -16.5))"
"POLYGON ((26.5 -16.5, 26.5 -17, 26 -17, 26 -16.5, 26.5 -16.5))"
"POLYGON ((27 -16.5, 27 -17, 26.5 -17, 26.5 -16.5, 27 -16.5))"
"POLYGON ((27.5 -16.5, 27.5 -17, 27 -17, 27 -16.5, 27.5 -16.5))"
"POLYGON ((28 -16.5, 28 -17, 27.5 -17, 27.5 -16.5, 28 -16.5))"
"POLYGON ((28.5 -16.5, 28.5 -17, 28 -17, 28 -16.5, 28.5 -16.5))"
"POLYGON ((29 -16.5, 29 -17, 28.5 -17, 28.5 -16.5, 29 -16.5))"
"POLYGON ((29.5 -16.5, 29.5 -17, 29 -17, 29 -16.5, 29.5 -16.5))"
"POLYGON ((30 -16.5, 30 -17, 29.5 -17, 29.5 -16.5, 30 -16.5))"
"POLYGON ((30.5 -16.5, 30.5 -17, 30 -17, 30 -16.5, 30.5 -16.5))"
"POLYGON ((31 -16.5, 31 -17, 30.5 -17, 30.5 -16.5, 31 -16.5))"
"POLYGON ((31.5 -16.5, 31.5 -17, 31 -17, 31 -16.5, 31.5 -16.5))"
"POLYGON ((32 -16.5, 32 -17, 31.5 -17, 31.5 -16.5, 32 -16.5))"
"POLYGON ((32.5 -16.5, 32.5 -17, 32 -17, 32 -16.5, 32.5 -16.5))"
"POLYGON ((33 -16.5, 33 -17, 32.5 -17, 32.5 -16.5, 33 -16.5))"
"POLYGON ((33.5 -16.5, 33.5 -17, 33 -17, 33 -16.5, 33.5 -16.5))"
"POLYGON ((34 -16.5, 34 -17, 33.5 -17, 33.5 -16.5, 34 -16.5))"
"POLYGON ((34.5 -16.5, 34.5 -17, 34 -17, 34 -16.5, 34.5 -16.5))"
"POLYGON ((35 -16.5, 35 -17, 34.5 -17, 34.5 -16.5, 35 -16.5))"
"POLYGON ((35.5 -16.5, 35.5 -17, 35 -17, 35 -16.5, 35.5 -16.5))"
"POLYGON ((36 -16.5, 36 -17, 35.5 -17, 35.5 -16.5, 36 -16.5))"
"POLYGON ((36.5 -16.5, 36.5 -17, 36 -17, 36 -16.5, 36.5 -16.5))"
"POLYGON ((37 -16.5, 37 -17, 36.5 -17, 36.5 -16.5, 37 -16.5))"
"POLYGON ((37.5 -16.5, 37.5 -17, 37 -17, 37 -16.5, 37.5 -16.5))"
"POLYGON ((38 -16.5, 38 -17, 37.5 -17, 37.5 -16.5, 38 -16.5))"
"POLYGON ((38.5 -16.5, 38.5 -17, 38 -17, 38 -16.5, 38.5 -16.5))"
"POLYGON ((39 -16.5, 39 -17, 38.5 -17, 38.5 -16.5, 39 -16.5))"
"POLYGON ((39.5 -16.5, 39.5 -17, 39 -17, 39 -16.5, 39.5 -16.5))"
"POLYGON ((45 -16.5, 45 -17, 44.5 -17, 44.5 -16.5, 45 -16.5))"
"POLYGON ((45.5 -16.5, 45.5 -17, 45 -17, 45 -16.5, 45.5 -16.5))"
"POLYGON ((46 -16.5, 46 -17, 45.5 -17, 45.5 -16.5, 46 -16.5))"
"POLYGON ((46.5 -16.5, 46.5 -17, 46 -17, 46 -16.5, 46.5 -16.5))"
"POLYGON ((47 -16.5, 47 -17, 46.5 -17, 46.5 -16.5, 47 -16.5))"
"POLYGON ((47.5 -16.5, 47.5 -17, 47 -17, 47 -16.5, 47.5 -16.5))"
"POLYGON ((48 -16.5, 48 -17, 47.5 -17, 47.5 -16.5, 48 -16.5))"
"POLYGON ((48.5 -16.5, 48.5 -17, 48 -17, 48 -16.5, 48.5 -16.5))"
"POLYGON ((49 -16.5, 49 -17, 48.5 -17, 48.5 -16.5, 49 -16.5))"
"POLYGON ((49.5 -16.5, 49.5 -17, 49 -17, 49 -16.5, 49.5 -16.5))"
"POLYGON ((50 -16.5, 50 -17, 49.5 -17, 49.5 -16.5, 50 -16.5))"
"POLYGON ((12 -16, 12 -16.5, 11.5 -16.5, 11.5 -16, 12 -16))"
"POLYGON ((12.5 -16, 12.5 -16.5, 12 -16.5, 12 -16, 12.5 -16))"
"POLYGON ((13 -16, 13 -16.5, 12.5 -16.5, 12.5 -16, 13 -16))"
"POLYGON ((13.5 -16, 13.5 -16.5, 13 -16.5, 13 -16, 13.5 -16))"
"POLYGON ((14 -16, 14 -16.5, 13.5 -16.5, 13.5 -16, 14 -16))"
"POLYGON ((14.5 -16, 14.5 -16.5, 14 -16.5, 14 -16, 14.5 -16))"
"POLYGON ((15 -16, 15 -16.5, 14.5 -16.5, 14.5 -16, 15 -16))"
"POLYGON ((15.5 -16, 15.5 -16.5, 15 -16.5, 15 -16, 15.5 -16))"
"POLYGON ((16 -16, 16 -16.5, 15.5 -16.5, 15.5 -16, 16 -16))"
"POLYGON ((16.5 -16, 16.5 -16.5, 16 -16.5, 16 -16, 16.5 -16))"
"POLYGON ((17 -16, 17 -16.5, 16.5 -16.5, 16.5 -16, 17 -16))"
"POLYGON ((17.5 -16, 17.5 -16.5, 17 -16.5, 17 -16, 17.5 -16))"
"POLYGON ((18 -16, 18 -16.5, 17.5 -16.5, 17.5 -16, 18 -16))"
"POLYGON ((18.5 -16, 18.5 -16.5, 18 -16.5, 18 -16, 18.5 -16))"
"POLYGON ((19 -16, 19 -16.5, 18.5 -16.5, 18.5 -16, 19 -16))"
"POLYGON ((19.5 -16, 19.5 -16.5, 19 -16.5, 19 -16, 19.5 -16))"
"POLYGON ((20 -16, 20 -16.5, 19.5 -16.5, 19.5 -16, 20 -16))"
"POLYGON ((20.5 -16, 20.5 -16.5, 20 -16.5, 20 -16, 20.5 -16))"
"POLYGON ((21 -16, 21 -16.5, 20.5 -16.5, 20.5 -16, 21 -16))"
"POLYGON ((21.5 -16, 21.5 -16.5, 21 -16.5, 21 -16, 21.5 -16))"
"POLYGON ((22 -16, 22 -16.5, 21.5 -16.5, 21.5 -16, 22 -16))"
"POLYGON ((22.5 -16, 22.5 -16.5, 22 -16.5, 22 -16, 22.5 -16))"
"POLYGON ((23 -16, 23 -16.5, 22.5 -16.5, 22.5 -16, 23 -16))"
"POLYGON ((23.5 -16, 23.5 -16.5, 23 -16.5, 23 -16, 23.5 -16))"
"POLYGON ((24 -16, 24 -16.5, 23.5 -16.5, 23.5 -16, 24 -16))"
"POLYGON ((24.5 -16, 24.5 -16.5, 24 -16.5, 24 -16, 24.5 -16))"
"POLYGON ((25 -16, 25 -16.5, 24.5 -16.5, 24.5 -16, 25 -16))"
"POLYGON ((25.5 -16, 25.5 -16.5, 25 -16.5, 25 -16, 25.5 -16))"
"POLYGON ((26 -16, 26 -16.5, 25.5 -16.5, 25.5 -16, 26 -16))"
"POLYGON ((26.5 -16, 26.5 -16.5, 26 -16.5, 26 -16, 26.5 -16))"
"POLYGON ((27 -16, 27 -16.5, 26.5 -16.5, 26.5 -16, 27 -16))"
"POLYGON ((27.5 -16, 27.5 -16.5, 27 -16.5, 27 -16, 27.5 -16))"
"POLYGON ((28 -16, 28 -16.5, 27.5 -16.5, 27.5 -16, 28 -16))"
"POLYGON ((28.5 -16, 28.5 -16.5, 28 -16.5, 28 -16, 28.5 -16))"
"POLYGON ((29 -16, 29 -16.5, 28.5 -16.5, 28.5 -16, 29 -16))"
"POLYGON ((29.5 -16, 29.5 -16.5, 29 -16.5, 29 -16, 29.5 -16))"
"POLYGON ((30 -16, 30 -16.5, 29.5 -16.5, 29.5 -16, 30 -16))"
"POLYGON ((30.5 -16, 30.5 -16.5, 30 -16.5, 30 -16, 30.5 -16))"
"POLYGON ((31 -16, 31 -16.5, 30.5 -16.5, 30.5 -16, 31 -16))"
"POLYGON ((31.5 -16, 31.5 -16.5, 31 -16.5, 31 -16, 31.5 -16))"
"POLYGON ((32 -16, 32 -16.5, 31.5 -16.5, 31.5 -16, 32 -16))"
"POLYGON ((32.5 -16, 32.5 -16.5, 32 -16.5, 32 -16, 32.5 -16))"
"POLYGON ((33 -16, 33 -16.5, 32.5 -16.5, 32.5 -16, 33 -16))"
"POLYGON ((33.5 -16, 33.5 -16.5, 33 -16.5, 33 -16, 33.5 -16))"
"POLYGON ((34 -16, 34 -16.5, 33.5 -16.5, 33.5 -16, 34 -16))"
"POLYGON ((34.5 -16, 34.5 -16.5, 34 -16.5, 34 -16, 34.5 -16))"
"POLYGON ((35 -16, 35 -16.5, 34.5 -16.5, 34.5 -16, 35 -16))"
"POLYGON ((35.5 -16, 35.5 -16.5, 35 -16.5, 35 -16, 35.5 -16))"
"POLYGON ((36 -16, 36 -16.5, 35.5 -16.5, 35.5 -16, 36 -16))"
"POLYGON ((36.5 -16, 36.5 -16.5, 36 -16.5, 36 -16, 36.5 -16))"
"POLYGON ((37 -16, 37 -16.5, 36.5 -16.5, 36.5 -16, 37 -16))"
"POLYGON ((37.5 -16, 37.5 -16.5, 37 -16.5, 37 -16, 37.5 -16))"
"POLYGON ((38 -16, 38 -16.5, 37.5 -16.5, 37.5 -16, 38 -16))"
"POLYGON ((38.5 -16, 38.5 -16.5, 38 -16.5, 38 -16, 38.5 -16))"
"POLYGON ((39 -16, 39 -16.5, 38.5 -16.5, 38.5 -16, 39 -16))"
"POLYGON ((39.5 -16, 39.5 -16.5, 39 -16.5, 39 -16, 39.5 -16))"
"POLYGON ((40 -16, 40 -16.5, 39.5 -16.5, 39.5 -16, 40 -16))"
"POLYGON ((45 -16, 45 -16.5, 44.5 -16.5, 44.5 -16, 45 -16))"
"POLYGON ((45.5 -16, 45.5 -16.5, 45 -16.5, 45 -16, 45.5 -16))"
"POLYGON ((46 -16, 46 -16.5, 45.5 -16.5, 45.5 -16, 46 -16))"
"POLYGON ((46.5 -16, 46.5 -16.5, 46 -16.5, 46 -16, 46.5 -16))"
"POLYGON ((47 -16, 47 -16.5, 46.5 -16.5, 46.5 -16, 47 -16))"
"POLYGON ((47.5 -16, 47.5 -16.5, 47 -16.5, 47 -16, 47.5 -16))"
"POLYGON ((48 -16, 48 -16.5, 47.5 -16.5, 47.5 -16, 48 -16))"
"POLYGON ((48.5 -16, 48.5 -16.5, 48 -16.5, 48 -16, 48.5 -16))"
"POLYGON ((49 -16, 49 -16.5, 48.5 -16.5, 48.5 -16, 49 -16))"
"POLYGON ((49.5 -16, 49.5 -16.5, 49 -16.5, 49 -16, 49.5 -16))"
"POLYGON ((50 -16, 50 -16.5, 49.5 -16.5, 49.5 -16, 50 -16))"
"POLYGON ((12.5 -15.5, 12.5 -16, 12 -16, 12 -15.5, 12.5 -15.5))"
"POLYGON ((13 -15.5, 13 -16, 12.5 -16, 12.5 -15.5, 13 -15.5))"
"POLYGON ((13.5 -15.5, 13.5 -16, 13 -16, 13 -15.5, 13.5 -15.5))"
"POLYGON ((14 -15.5, 14 -16, 13.5 -16, 13.5 -15.5, 14 -15.5))"
"POLYGON ((14.5 -15.5, 14.5 -16, 14 -16, 14 -15.5, 14.5 -15.5))"
"POLYGON ((15 -15.5, 15 -16, 14.5 -16, 14.5 -15.5, 15 -15.5))"
"POLYGON ((15.5 -15.5, 15.5 -16, 15 -16, 15 -15.5, 15.5 -15.5))"
"POLYGON ((16 -15.5, 16 -16, 15.5 -16, 15.5 -15.5, 16 -15.5))"
"POLYGON ((16.5 -15.5, 16.5 -16, 16 -16, 16 -15.5, 16.5 -15.5))"
"POLYGON ((17 -15.5, 17 -16, 16.5 -16, 16.5 -15.5, 17 -15.5))"
"POLYGON ((17.5 -15.5, 17.5 -16, 17 -16, 17 -15.5, 17.5 -15.5))"
"POLYGON ((18 -15.5, 18 -16, 17.5 -16, 17.5 -15.5, 18 -15.5))"
"POLYGON ((18.5 -15.5, 18.5 -16, 18 -16, 18 -15.5, 18.5 -15.5))"
"POLYGON ((19 -15.5, 19 -16, 18.5 -16, 18.5 -15.5, 19 -15.5))"
"POLYGON ((19.5 -15.5, 19.5 -16, 19 -16, 19 -15.5, 19.5 -15.5))"
"POLYGON ((20 -15.5, 20 -16, 19.5 -16, 19.5 -15.5, 20 -15.5))"
"POLYGON ((20.5 -15.5, 20.5 -16, 20 -16, 20 -15.5, 20.5 -15.5))"
"POLYGON ((21 -15.5, 21 -16, 20.5 -16, 20.5 -15.5, 21 -15.5))"
"POLYGON ((21.5 -15.5, 21.5 -16, 21 -16, 21 -15.5, 21.5 -15.5))"
"POLYGON ((22 -15.5, 22 -16, 21.5 -16, 21.5 -15.5, 22 -15.5))"
"POLYGON ((22.5 -15.5, 22.5 -16, 22 -16, 22 -15.5, 22.5 -15.5))"
"POLYGON ((23 -15.5, 23 -16, 22.5 -16, 22.5 -15.5, 23 -15.5))"
"POLYGON ((23.5 -15.5, 23.5 -16, 23 -16, 23 -15.5, 23.5 -15.5))"
"POLYGON ((24 -15.5, 24 -16, 23.5 -16, 23.5 -15.5, 24 -15.5))"
"POLYGON ((24.5 -15.5, 24.5 -16, 24 -16, 24 -15.5, 24.5 -15.5))"
"POLYGON ((25 -15.5, 25 -16, 24.5 -16, 24.5 -15.5, 25 -15.5))"
"POLYGON ((25.5 -15.5, 25.5 -16, 25 -16, 25 -15.5, 25.5 -15.5))"
"POLYGON ((26 -15.5, 26 -16, 25.5 -16, 25.5 -15.5, 26 -15.5))"
"POLYGON ((26.5 -15.5, 26.5 -16, 26 -16, 26 -15.5, 26.5 -15.5))"
"POLYGON ((27 -15.5, 27 -16, 26.5 -16, 26.5 -15.5, 27 -15.5))"
"POLYGON ((27.5 -15.5, 27.5 -16, 27 -16, 27 -15.5, 27.5 -15.5))"
"POLYGON ((28 -15.5, 28 -16, 27.5 -16, 27.5 -15.5, 28 -15.5))"
"POLYGON ((28.5 -15.5, 28.5 -16, 28 -16, 28 -15.5, 28.5 -15.5))"
"POLYGON ((29 -15.5, 29 -16, 28.5 -16, 28.5 -15.5, 29 -15.5))"
"POLYGON ((29.5 -15.5, 29.5 -16, 29 -16, 29 -15.5, 29.5 -15.5))"
"POLYGON ((30 -15.5, 30 -16, 29.5 -16, 29.5 -15.5, 30 -15.5))"
"POLYGON ((30.5 -15.5, 30.5 -16, 30 -16, 30 -15.5, 30.5 -15.5))"
"POLYGON ((31 -15.5, 31 -16, 30.5 -16, 30.5 -15.5, 31 -15.5))"
"POLYGON ((31.5 -15.5, 31.5 -16, 31 -16, 31 -15.5, 31.5 -15.5))"
"POLYGON ((32 -15.5, 32 -16, 31.5 -16, 31.5 -15.5, 32 -15.5))"
"POLYGON ((32.5 -15.5, 32.5 -16, 32 -16, 32 -15.5, 32.5 -15.5))"
"POLYGON ((33 -15.5, 33 -16, 32.5 -16, 32.5 -15.5, 33 -15.5))"
"POLYGON ((33.5 -15.5, 33.5 -16, 33 -16, 33 -15.5, 33.5 -15.5))"
"POLYGON ((34 -15.5, 34 -16, 33.5 -16, 33.5 -15.5, 34 -15.5))"
"POLYGON ((34.5 -15.5, 34.5 -16, 34 -16, 34 -15.5, 34.5 -15.5))"
"POLYGON ((35 -15.5, 35 -16, 34.5 -16, 34.5 -15.5, 35 -15.5))"
"POLYGON ((35.5 -15.5, 35.5 -16, 35 -16, 35 -15.5, 35.5 -15.5))"
"POLYGON ((36 -15.5, 36 -16, 35.5 -16, 35.5 -15.5, 36 -15.5))"
"POLYGON ((36.5 -15.5, 36.5 -16, 36 -16, 36 -15.5, 36.5 -15.5))"
"POLYGON ((37 -15.5, 37 -16, 36.5 -16, 36.5 -15.5, 37 -15.5))"
"POLYGON ((37.5 -15.5, 37.5 -16, 37 -16, 37 -15.5, 37.5 -15.5))"
"POLYGON ((38 -15.5, 38 -16, 37.5 -16, 37.5 -15.5, 38 -15.5))"
"POLYGON ((38.5 -15.5, 38.5 -16, 38 -16, 38 -15.5, 38.5 -15.5))"
"POLYGON ((39 -15.5, 39 -16, 38.5 -16, 38.5 -15.5, 39 -15.5))"
"POLYGON ((39.5 -15.5, 39.5 -16, 39 -16, 39 -15.5, 39.5 -15.5))"
"POLYGON ((40 -15.5, 40 -16, 39.5 -16, 39.5 -15.5, 40 -15.5))"
"POLYGON ((40.5 -15.5, 40.5 -16, 40 -16, 40 -15.5, 40.5 -15.5))"
"POLYGON ((47 -15.5, 47 -16, 46.5 -16, 46.5 -15.5, 47 -15.5))"
"POLYGON ((47.5 -15.5, 47.5 -16, 47 -16, 47 -15.5, 47.5 -15.5))"
"POLYGON ((48 -15.5, 48 -16, 47.5 -16, 47.5 -15.5, 48 -15.5))"
"POLYGON ((48.5 -15.5, 48.5 -16, 48 -16, 48 -15.5, 48.5 -15.5))"
"POLYGON ((49 -15.5, 49 -16, 48.5 -16, 48.5 -15.5, 49 -15.5))"
"POLYGON ((49.5 -15.5, 49.5 -16, 49 -16, 49 -15.5, 49.5 -15.5))"
"POLYGON ((50.5 -15.5, 50.5 -16, 50 -16, 50 -15.5, 50.5 -15.5))"
"POLYGON ((12.5 -15, 12.5 -15.5, 12 -15.5, 12 -15, 12.5 -15))"
"POLYGON ((13 -15, 13 -15.5, 12.5 -15.5, 12.5 -15, 13 -15))"
"POLYGON ((13.5 -15, 13.5 -15.5, 13 -15.5, 13 -15, 13.5 -15))"
"POLYGON ((14 -15, 14 -15.5, 13.5 -15.5, 13.5 -15, 14 -15))"
"POLYGON ((14.5 -15, 14.5 -15.5, 14 -15.5, 14 -15, 14.5 -15))"
"POLYGON ((15 -15, 15 -15.5, 14.5 -15.5, 14.5 -15, 15 -15))"
"POLYGON ((15.5 -15, 15.5 -15.5, 15 -15.5, 15 -15, 15.5 -15))"
"POLYGON ((16 -15, 16 -15.5, 15.5 -15.5, 15.5 -15, 16 -15))"
"POLYGON ((16.5 -15, 16.5 -15.5, 16 -15.5, 16 -15, 16.5 -15))"
"POLYGON ((17 -15, 17 -15.5, 16.5 -15.5, 16.5 -15, 17 -15))"
"POLYGON ((17.5 -15, 17.5 -15.5, 17 -15.5, 17 -15, 17.5 -15))"
"POLYGON ((18 -15, 18 -15.5, 17.5 -15.5, 17.5 -15, 18 -15))"
"POLYGON ((18.5 -15, 18.5 -15.5, 18 -15.5, 18 -15, 18.5 -15))"
"POLYGON ((19 -15, 19 -15.5, 18.5 -15.5, 18.5 -15, 19 -15))"
"POLYGON ((19.5 -15, 19.5 -15.5, 19 -15.5, 19 -15, 19.5 -15))"
"POLYGON ((20 -15, 20 -15.5, 19.5 -15.5, 19.5 -15, 20 -15))"
"POLYGON ((20.5 -15, 20.5 -15.5, 20 -15.5, 20 -15, 20.5 -15))"
"POLYGON ((21 -15, 21 -15.5, 20.5 -15.5, 20.5 -15, 21 -15))"
"POLYGON ((21.5 -15, 21.5 -15.5, 21 -15.5, 21 -15, 21.5 -15))"
"POLYGON ((22 -15, 22 -15.5, 21.5 -15.5, 21.5 -15, 22 -15))"
"POLYGON ((22.5 -15, 22.5 -15.5, 22 -15.5, 22 -15, 22.5 -15))"
"POLYGON ((23 -15, 23 -15.5, 22.5 -15.5, 22.5 -15, 23 -15))"
"POLYGON ((23.5 -15, 23.5 -15.5, 23 -15.5, 23 -15, 23.5 -15))"
"POLYGON ((24 -15, 24 -15.5, 23.5 -15.5, 23.5 -15, 24 -15))"
"POLYGON ((24.5 -15, 24.5 -15.5, 24 -15.5, 24 -15, 24.5 -15))"
"POLYGON ((25 -15, 25 -15.5, 24.5 -15.5, 24.5 -15, 25 -15))"
"POLYGON ((25.5 -15, 25.5 -15.5, 25 -15.5, 25 -15, 25.5 -15))"
"POLYGON ((26 -15, 26 -15.5, 25.5 -15.5, 25.5 -15, 26 -15))"
"POLYGON ((26.5 -15, 26.5 -15.5, 26 -15.5, 26 -15, 26.5 -15))"
"POLYGON ((27 -15, 27 -15.5, 26.5 -15.5, 26.5 -15, 27 -15))"
"POLYGON ((27.5 -15, 27.5 -15.5, 27 -15.5, 27 -15, 27.5 -15))"
"POLYGON ((28 -15, 28 -15.5, 27.5 -15.5, 27.5 -15, 28 -15))"
"POLYGON ((28.5 -15, 28.5 -15.5, 28 -15.5, 28 -15, 28.5 -15))"
"POLYGON ((29 -15, 29 -15.5, 28.5 -15.5, 28.5 -15, 29 -15))"
"POLYGON ((29.5 -15, 29.5 -15.5, 29 -15.5, 29 -15, 29.5 -15))"
"POLYGON ((30 -15, 30 -15.5, 29.5 -15.5, 29.5 -15, 30 -15))"
"POLYGON ((30.5 -15, 30.5 -15.5, 30 -15.5, 30 -15, 30.5 -15))"
"POLYGON ((31 -15, 31 -15.5, 30.5 -15.5, 30.5 -15, 31 -15))"
"POLYGON ((31.5 -15, 31.5 -15.5, 31 -15.5, 31 -15, 31.5 -15))"
"POLYGON ((32 -15, 32 -15.5, 31.5 -15.5, 31.5 -15, 32 -15))"
"POLYGON ((32.5 -15, 32.5 -15.5, 32 -15.5, 32 -15, 32.5 -15))"
"POLYGON ((33 -15, 33 -15.5, 32.5 -15.5, 32.5 -15, 33 -15))"
"POLYGON ((33.5 -15, 33.5 -15.5, 33 -15.5, 33 -15, 33.5 -15))"
"POLYGON ((34 -15, 34 -15.5, 33.5 -15.5, 33.5 -15, 34 -15))"
"POLYGON ((34.5 -15, 34.5 -15.5, 34 -15.5, 34 -15, 34.5 -15))"
"POLYGON ((35 -15, 35 -15.5, 34.5 -15.5, 34.5 -15, 35 -15))"
"POLYGON ((35.5 -15, 35.5 -15.5, 35 -15.5, 35 -15, 35.5 -15))"
"POLYGON ((36 -15, 36 -15.5, 35.5 -15.5, 35.5 -15, 36 -15))"
"POLYGON ((36.5 -15, 36.5 -15.5, 36 -15.5, 36 -15, 36.5 -15))"
"POLYGON ((37 -15, 37 -15.5, 36.5 -15.5, 36.5 -15, 37 -15))"
"POLYGON ((37.5 -15, 37.5 -15.5, 37 -15.5, 37 -15, 37.5 -15))"
"POLYGON ((38 -15, 38 -15.5, 37.5 -15.5, 37.5 -15, 38 -15))"
"POLYGON ((38.5 -15, 38.5 -15.5, 38 -15.5, 38 -15, 38.5 -15))"
"POLYGON ((39 -15, 39 -15.5, 38.5 -15.5, 38.5 -15, 39 -15))"
"POLYGON ((39.5 -15, 39.5 -15.5, 39 -15.5, 39 -15, 39.5 -15))"
"POLYGON ((40 -15, 40 -15.5, 39.5 -15.5, 39.5 -15, 40 -15))"
"POLYGON ((40.5 -15, 40.5 -15.5, 40 -15.5, 40 -15, 40.5 -15))"
"POLYGON ((47.5 -15, 47.5 -15.5, 47 -15.5, 47 -15, 47.5 -15))"
"POLYGON ((48 -15, 48 -15.5, 47.5 -15.5, 47.5 -15, 48 -15))"
"POLYGON ((48.5 -15, 48.5 -15.5, 48 -15.5, 48 -15, 48.5 -15))"
"POLYGON ((49 -15, 49 -15.5, 48.5 -15.5, 48.5 -15, 49 -15))"
"POLYGON ((49.5 -15, 49.5 -15.5, 49 -15.5, 49 -15, 49.5 -15))"
"POLYGON ((50 -15, 50 -15.5, 49.5 -15.5, 49.5 -15, 50 -15))"
"POLYGON ((50.5 -15, 50.5 -15.5, 50 -15.5, 50 -15, 50.5 -15))"
"POLYGON ((12.5 -14.5, 12.5 -15, 12 -15, 12 -14.5, 12.5 -14.5))"
"POLYGON ((13 -14.5, 13 -15, 12.5 -15, 12.5 -14.5, 13 -14.5))"
"POLYGON ((13.5 -14.5, 13.5 -15, 13 -15, 13 -14.5, 13.5 -14.5))"
"POLYGON ((14 -14.5, 14 -15, 13.5 -15, 13.5 -14.5, 14 -14.5))"
"POLYGON ((14.5 -14.5, 14.5 -15, 14 -15, 14 -14.5, 14.5 -14.5))"
"POLYGON ((15 -14.5, 15 -15, 14.5 -15, 14.5 -14.5, 15 -14.5))"
"POLYGON ((15.5 -14.5, 15.5 -15, 15 -15, 15 -14.5, 15.5 -14.5))"
"POLYGON ((16 -14.5, 16 -15, 15.5 -15, 15.5 -14.5, 16 -14.5))"
"POLYGON ((16.5 -14.5, 16.5 -15, 16 -15, 16 -14.5, 16.5 -14.5))"
"POLYGON ((17 -14.5, 17 -15, 16.5 -15, 16.5 -14.5, 17 -14.5))"
"POLYGON ((17.5 -14.5, 17.5 -15, 17 -15, 17 -14.5, 17.5 -14.5))"
"POLYGON ((18 -14.5, 18 -15, 17.5 -15, 17.5 -14.5, 18 -14.5))"
"POLYGON ((18.5 -14.5, 18.5 -15, 18 -15, 18 -14.5, 18.5 -14.5))"
"POLYGON ((19 -14.5, 19 -15, 18.5 -15, 18.5 -14.5, 19 -14.5))"
"POLYGON ((19.5 -14.5, 19.5 -15, 19 -15, 19 -14.5, 19.5 -14.5))"
"POLYGON ((20 -14.5, 20 -15, 19.5 -15, 19.5 -14.5, 20 -14.5))"
"POLYGON ((20.5 -14.5, 20.5 -15, 20 -15, 20 -14.5, 20.5 -14.5))"
"POLYGON ((21 -14.5, 21 -15, 20.5 -15, 20.5 -14.5, 21 -14.5))"
"POLYGON ((21.5 -14.5, 21.5 -15, 21 -15, 21 -14.5, 21.5 -14.5))"
"POLYGON ((22 -14.5, 22 -15, 21.5 -15, 21.5 -14.5, 22 -14.5))"
"POLYGON ((22.5 -14.5, 22.5 -15, 22 -15, 22 -14.5, 22.5 -14.5))"
"POLYGON ((23 -14.5, 23 -15, 22.5 -15, 22.5 -14.5, 23 -14.5))"
"POLYGON ((23.5 -14.5, 23.5 -15, 23 -15, 23 -14.5, 23.5 -14.5))"
"POLYGON ((24 -14.5, 24 -15, 23.5 -15, 23.5 -14.5, 24 -14.5))"
"POLYGON ((24.5 -14.5, 24.5 -15, 24 -15, 24 -14.5, 24.5 -14.5))"
"POLYGON ((25 -14.5, 25 -15, 24.5 -15, 24.5 -14.5, 25 -14.5))"
"POLYGON ((25.5 -14.5, 25.5 -15, 25 -15, 25 -14.5, 25.5 -14.5))"
"POLYGON ((26 -14.5, 26 -15, 25.5 -15, 25.5 -14.5, 26 -14.5))"
"POLYGON ((26.5 -14.5, 26.5 -15, 26 -15, 26 -14.5, 26.5 -14.5))"
"POLYGON ((27 -14.5, 27 -15, 26.5 -15, 26.5 -14.5, 27 -14.5))"
"POLYGON ((27.5 -14.5, 27.5 -15, 27 -15, 27 -14.5, 27.5 -14.5))"
"POLYGON ((28 -14.5, 28 -15, 27.5 -15, 27.5 -14.5, 28 -14.5))"
"POLYGON ((28.5 -14.5, 28.5 -15, 28 -15, 28 -14.5, 28.5 -14.5))"
"POLYGON ((29 -14.5, 29 -15, 28.5 -15, 28.5 -14.5, 29 -14.5))"
"POLYGON ((29.5 -14.5, 29.5 -15, 29 -15, 29 -14.5, 29.5 -14.5))"
"POLYGON ((30 -14.5, 30 -15, 29.5 -15, 29.5 -14.5, 30 -14.5))"
"POLYGON ((30.5 -14.5, 30.5 -15, 30 -15, 30 -14.5, 30.5 -14.5))"
"POLYGON ((31 -14.5, 31 -15, 30.5 -15, 30.5 -14.5, 31 -14.5))"
"POLYGON ((31.5 -14.5, 31.5 -15, 31 -15, 31 -14.5, 31.5 -14.5))"
"POLYGON ((32 -14.5, 32 -15, 31.5 -15, 31.5 -14.5, 32 -14.5))"
"POLYGON ((32.5 -14.5, 32.5 -15, 32 -15, 32 -14.5, 32.5 -14.5))"
"POLYGON ((33 -14.5, 33 -15, 32.5 -15, 32.5 -14.5, 33 -14.5))"
"POLYGON ((33.5 -14.5, 33.5 -15, 33 -15, 33 -14.5, 33.5 -14.5))"
"POLYGON ((34 -14.5, 34 -15, 33.5 -15, 33.5 -14.5, 34 -14.5))"
"POLYGON ((34.5 -14.5, 34.5 -15, 34 -15, 34 -14.5, 34.5 -14.5))"
